id;code_ifns;name;address;phone;add_info;payment_receiver;oktmo_receiver;inn;kpp;bank_receiver;bik;correspondent_account;account_number;code_reg_authority_le;name_reg_authority_le;address_reg_authority_le;phone_reg_authority_le;add_info_reg_authority_le;code_reg_authority_sp;name_reg_authority_sp;address_reg_authority_sp;phone_reg_authority_sp;add_info_reg_authority_sp;created_at;actualized_at;deleted_at
1;272;Межрайонная инспекция Федеральной налоговой службы № 30 по Республике Башкортостан;,450095,,,Уфа г,,Левитана ул,14,,;347-224-82-82;Код ОКПО:31227246. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца: 10.00 - 15.00, остальные субботы, воскресенье: выходные дни.;УФК по Республике Башкортостан;80603404,80603410,80603413,80603416,80603419,80603422,80603425,80603428,80603434,80603440,80603446,80603450,80614000,80614404,80614407,80614410,80614413,80614416,80614419,80614422,80614423,80614424,80614428,80614431,80614434,80614437,80614440,80614443,80617000,80617404,80617407,80617410,80617413,80617416,80617419,80617422,80617425,80617431,80617437,80617440,80617446,80635000,80635405,80635415,80635420,80635423,80635425,80635430,80635435,80635440,80635445,80635450,80635451,80635455,80635465,80635470,80635475,80635480,80651000,80652000,80652403,80652405,80652410,80652415,80652418,80652420,80652423,80652425,80652430,80652435,80652440,80652450,80652452,80652455,80652460,80652472,80652473,80652475,80652480,80657000,80657151,80657405,80657410,80657415,80657420,80657425,80657430,80657435,80657440,80657445,80657446,80657450,80657455,80657465,80657470,80657475,80701000;272015010;27201001;Отделение-НБ Республика Башкортостан;48073001;;4,01018E+19;2123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-09;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;2123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-09;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;2018-07-26 07:31:41.426044;2018-07-26 07:31:41.426044;
2;273;Межрайонная инспекция Федеральной налоговой службы № 31 по Республике Башкортостан;,450112,,,Уфа г,,Ульяновых ул,18,,;347-242-02-45;Код ОКПО:31227252. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца: 10.00 - 15.00, остальные субботы, воскресенье: выходные дни.;УФК по Республике Башкортостан;80602000,80602404,80602406,80602413,80602416,80602418,80602419,80602422,80602428,80602431,80602437,80602440,80602443,80602446,80602449,80602451,80602455,80602458,80602461,80602464,80602470,80622101,80622404,80622410,80622413,80622416,80622419,80622422,80622425,80622428,80622431,80622434,80622437,80622440,80622443,80622444,80622446,80622449,80628000,80628403,80628405,80628410,80628415,80628416,80628420,80628425,80628430,80628432,80628435,80628440,80628445,80628450,80628455,80628460,80628470,80628472,80628474,80628480,80645000,80645405,80645410,80645415,80645416,80645420,80645435,80645440,80645444,80645445,80645450,80645452,80645455,80701000;273060707;27301001;Отделение-НБ Республика Башкортостан;48073001;;4,01018E+19;2123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-09;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;2123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-09;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;2018-07-26 07:31:42.793255;2018-07-26 07:31:42.793255;
3;274;Межрайонная инспекция Федеральной налоговой службы № 40 по Республике Башкортостан;,450077,,,Уфа г,,Коммунистическая ул,59,,;347-229-79-38;Код ОКПО:31227269. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца: 10.00 - 15.00, остальные субботы, воскресенье: выходные дни.;УФК по Республике Башкортостан;80701000;274034097;27401001;Отделение-НБ Республика Башкортостан;48073001;;4,01018E+19;2123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-09;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;2123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-09;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;2018-07-26 07:31:42.873091;2018-07-26 07:31:42.873091;
4;276;Межрайонная инспекция Федеральной налоговой службы № 2 по Республике Башкортостан;,450055,,,Уфа г,,Октября пр-кт,144/3,корп2,;347-224-85-28;Код ОКПО:31227281. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца: 10.00 - 15.00, остальные субботы, воскресенье: выходные дни.;УФК по Республике Башкортостан;80610000,80610402,80610404,80610407,80610413,80610416,80610419,80610422,80610425,80610428,80610431,80610434,80610437,80610440,80623000,80623404,80623406,80623407,80623413,80623419,80623422,80623425,80623428,80623431,80623433,80623434,80623440,80623443,80636000,80636405,80636410,80636415,80636420,80636425,80636430,80636435,80636440,80636445,80642000,80642401,80642405,80642410,80642415,80642420,80642423,80642425,80642430,80642435,80642442,80642445,80642450,80647000,80647405,80647410,80647415,80647425,80647430,80647435,80647440,80647445,80647447,80647450,80647453,80647455,80647460,80647465,80647475,80647476,80701000;276009836;27601001;Отделение-НБ Республика Башкортостан;48073001;;4,01018E+19;2123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-09;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;2123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-09;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;2018-07-26 07:31:42.916352;2018-07-26 07:31:42.916352;
121;2307;Межрайонная инспекция Федеральной налоговой службы по крупнейшим налогоплательщикам по Краснодарскому краю;,350059,,,Краснодар г,,Ялтинская ул/им. М.И.Глинки ул,33/8,,;861 992-06-99, 861 992-06-86, 861 992-06-86;Код ОКПО:21047069;УФК по Краснодарскому краю;3701000;2310023594;231201001;ЮЖНОЕ ГУ БАНКА РОССИИ;40349001;;4,01018E+19;;;;;;;;;;;2018-07-26 07:31:56.260361;2018-07-26 07:31:56.260361;
5;326;Межрайонная инспекция Федеральной налоговой службы №2 по Республике Бурятия;,670000,Бурятия Респ,,Улан-Удэ г,,Борсоева ул,11,А,;3012-297318;Код ОКПО:26050372 Режим работы с 8ч.30мин. до 17ч.30 мин., перерыв 12ч.00 мин. до 13ч.00 мин.;УФК по Республике Бурятия;81606410,81606415,81606440,81606442,81606455,81606460,81606470,81606480,81606490,81615000,81615420,81615430,81615440,81615450,81615455,81615460,81615463,81615465,81615469,81615470,81615480,81615485,81615487,81615490,81622000,81622410,81622415,81622420,81622428,81622430,81622440,81627000,81627411,81627422,81627433,81627440,81627444,81627446,81627455,81627466,81627477,81657000,81657405,81657410,81657415,81657420,81657423,81657424,81657425,81657432,81657435,81701000;326023525;32601001;ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА БУРЯТИЯ;48142001;;4,01018E+19;3048;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Бурятия;,670000,,, Улан-Удэ г,, Коммунистическая ул, д 50,,;301-2-21-22-19;Об организации деятельности Межрайонной инспекции Федеральной налоговой службы № 9 по Республике Бурятия;3048;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Бурятия;,670000,,, Улан-Удэ г,, Коммунистическая ул, д 50,,;301-2-21-22-19;Об организации деятельности Межрайонной инспекции Федеральной налоговой службы № 9 по Республике Бурятия;2018-07-26 07:31:42.983481;2018-07-26 07:31:42.983481;
6;506;Межрайонная инспекция Федеральной налоговой службы № 12 по Республике Дагестан;,368970,Дагестан Респ,Ботлихский р-н,,Ботлих с,,,,;271-22141;Код ОКПО: 73915032. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни;УФК по Республике Дагестан;82605000,82605410,82605415,82605420,82605430,82605435,82605440,82605445,82605460,82609000,82609405,82609417,82609420,82609425,82609435,82609440,82609442,82609445,82609455,82609458,82609465,82609470,82615000,82615420,82615423,82615430,82615440,82615445,82615455,82615460,82615470,82615472,82657000,82657405,82657412,82657427,82657428,82657430,82657440,82657445,82657455,82657460,82657463;506007177;50601001;ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА ДАГЕСТАН;48209001;;4,01018E+19;5427;Инспекция Федеральной налоговой службы по Ленинскому району г.Махачкалы;,367013,,, Махачкала г,, Гамидова пр-кт, д 69, корп б,;8722-616568;Режим работы: с 9-00 до 18-00, пятница с 9-00 до 17-00, нерабочие дни: суббота, воскресенье;5427;Инспекция Федеральной налоговой службы по Ленинскому району г.Махачкалы;,367013,,, Махачкала г,, Гамидова пр-кт, д 69, корп б,;8722-616568;Режим работы: с 9-00 до 18-00, пятница с 9-00 до 17-00, нерабочие дни: суббота, воскресенье;2018-07-26 07:31:43.009683;2018-07-26 07:31:43.009683;
7;507;Межрайонная инспекция Федеральной налоговой службы № 7 по Республике Дагестан;,368200,Дагестан Респ,,Буйнакск г.Чкалова ул,31,,;237-25024;Код ОКПО: 70497901. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни;УФК по Республике Дагестан;82611405,82611412,82611416,82611420,82611424,82611436,82611444,82611452,82611464,82611468,82611484,82705000;507023326;50701001;ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА ДАГЕСТАН;48209001;;4,01018E+19;5427;Инспекция Федеральной налоговой службы по Ленинскому району г.Махачкалы;,367013,,, Махачкала г,, Гамидова пр-кт, д 69, корп б,;8722-616568;Режим работы: с 9-00 до 18-00, пятница с 9-00 до 17-00, нерабочие дни: суббота, воскресенье;5427;Инспекция Федеральной налоговой службы по Ленинскому району г.Махачкалы;,367013,,, Махачкала г,, Гамидова пр-кт, д 69, корп б,;8722-616568;Режим работы: с 9-00 до 18-00, пятница с 9-00 до 17-00, нерабочие дни: суббота, воскресенье;2018-07-26 07:31:43.041361;2018-07-26 07:31:43.041361;
8;521;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Дагестан;,368320,Дагестан Респ,Левашинский р-н,,Леваши с,Алиева А.ул,8,,;252-21444;Код ОКПО: 70498303. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни;УФК по Республике Дагестан;82603000,82603408,82603420,82603424,82603428,82603432,82603436,82603438,82603442,82603447,82603448,82603460,82603468,82629000,82629405,82629415,82629425,82629430,82629435,82629440,82629445,82629450,82629455,82629460,82632000,82632420,82632456,82632478,82634408,82634430,82634436,82634440,82634452,82634456,82634460,82634464,82634468,82634472,82634479,82634486,82634490;521010985;52101001;ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА ДАГЕСТАН;48209001;;4,01018E+19;5063;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Дагестан;368320,РФ,РД,Левашинский район,Леваши с,А.Алиева ул,8;252-21770;Режим работы: с 8-00 до 17-00, пятница с 8-00 до 15-45, нерабочие дни: суббота, воскресенье;5063;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Дагестан;368320,РФ,РД,Левашинский район,Леваши с,А.Алиева ул,8;252-21770;Режим работы: с 8-00 до 17-00, пятница с 8-00 до 15-45, нерабочие дни: суббота, воскресенье;2018-07-26 07:31:43.067157;2018-07-26 07:31:43.067157;
9;523;Межрайонная инспекция Федеральной налоговой службы № 1 по Республике Дагестан;,368780,Дагестан Респ,Магарамкентский р-н,,Магарамкент с,Сальмана ул,6,,;235-25974;Код ОКПО: 70498728. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни;УФК по Республике Дагестан;82606000,82606410,82606415,82606420,82606425,82606437,82606475,82606480,82606485,82606495,82621000,82621430,82621433,82621435,82621440,82621460,82621465,82621473,82621475,82637000,82637405,82637408,82637410,82637420,82637430,82637437,82637442,82637455,82637460,82637470,82637472,82637475,82637478,82637492,82642410,82642418,82642437,82642450,82642452,82642455;523004786;52301001;ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА ДАГЕСТАН;48209001;;4,01018E+19;5427;Инспекция Федеральной налоговой службы по Ленинскому району г.Махачкалы;,367013,,, Махачкала г,, Гамидова пр-кт, д 69, корп б,;8722-616568;Режим работы: с 9-00 до 18-00, пятница с 9-00 до 17-00, нерабочие дни: суббота, воскресенье;5427;Инспекция Федеральной налоговой службы по Ленинскому району г.Махачкалы;,367013,,, Махачкала г,, Гамидова пр-кт, д 69, корп б,;8722-616568;Режим работы: с 9-00 до 18-00, пятница с 9-00 до 17-00, нерабочие дни: суббота, воскресенье;2018-07-26 07:31:43.137269;2018-07-26 07:31:43.137269;
10;277;Межрайонная инспекция Федеральной налоговой службы № 33 по Республике Башкортостан;,450075,,,Уфа г,,Октября пр-кт,95,2,;347-277-27-60;Код ОКПО:31227298. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца: 10.00 - 15.00, остальные субботы, воскресенье: выходные дни.;УФК по Республике Башкортостан;80604402,80604404,80604413,80604416,80604418,80604419,80604425,80604428,80604431,80604437,80604440,80604442,80604443,80604446,80613000,80613101,80613407,80613408,80613409,80613410,80613416,80613419,80613422,80613425,80613431,80613434,80613437,80613440,80613443,80613446,80615101,80615404,80615407,80615413,80615419,80615422,80615425,80615428,80615431,80615434,80615437,80615440,80615443,80615449,80615453,80615461,80634404,80634412,80634416,80634424,80634432,80634436,80634440,80634444,80634445,80634452,80634456,80634460,80634464,80634472,80634480,80634484,80634488,80643000,80643405,80643410,80643415,80643420,80643425,80643430,80643435,80643445,80643450,80643455,80643460,80643465,80643470,80643480,80701000;277088277;27701001;Отделение-НБ Республика Башкортостан;48073001;;4,01018E+19;2123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-09;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;2123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-09;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;2018-07-26 07:31:43.166429;2018-07-26 07:31:43.166429;
11;278;Межрайонная инспекция Федеральной налоговой службы № 1 по Республике Башкортостан;,450005,,,Уфа г,,50 лет Октября ул,13/1,,;347-224-82-00;Код ОКПО:31227306. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца: 10.00 - 15.00, остальные субботы, воскресенье: выходные дни.;УФК по Республике Башкортостан;80624000,80624101,80624404,80624407,80624410,80624413,80624416,80624422,80624430,80624431,80624434,80624437,80624440,80624443,80624447,80624449,80630404,80630408,80630412,80630416,80630424,80630426,80630428,80630432,80630436,80630440,80630444,80630448,80630452,80630456,80630460,80630464,80630468,80630472,80630476,80630478,80630480,80630484,80640000,80640405,80640410,80640415,80640430,80640435,80640440,80640465,80640470,80640475,80640477,80640480,80640490,80656410,80656415,80656420,80656425,80656435,80656440,80656445,80656450,80656455,80656460,80656465,80656470,80656475;278008355;27801001;Отделение-НБ Республика Башкортостан;48073001;;4,01018E+19;2123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-09;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;2123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-09;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;2018-07-26 07:31:43.193511;2018-07-26 07:31:43.193511;
